カテゴリー,サブカテゴリー,スキル項目,ロール,専門性,スキルレベル,スキルレベル_数値
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,ソフトウェア開発プロセス,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,データビジネス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,データエンジニア,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,Webアプリケーション基本技術,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,データビジネス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,データエンジニア,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,フロントエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,フロントエンドシステム開発,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,データビジネス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,データエンジニア,データサイエンティスト,b,3.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,バックエンドシステム開発,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,データビジネス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,データアナリティクス,データサイエンティスト,d,1.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,データエンジニア,データサイエンティスト,b,3.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,バックエンドエンジニア,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,クラウドインフラ活用,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,SREプロセス,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,SREプロセス,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,SREプロセス,データビジネス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,SREプロセス,データアナリティクス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,SREプロセス,データエンジニア,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,SREプロセス,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,SREプロセス,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,SREプロセス,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
テクノロジー,ソフトウェア開発,サービス活用,新規事業開発,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,既存事業の高度化,ビジネスアーキテクト,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,社内業務の高度化・効率化,ビジネスアーキテクト,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,サービスデザイナー,デザイナー,d,1.0
テクノロジー,ソフトウェア開発,サービス活用,UX/UIデザイナー,デザイナー,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,データビジネス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,データアナリティクス,データサイエンティスト,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,データエンジニア,データサイエンティスト,b,3.0
テクノロジー,ソフトウェア開発,サービス活用,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
テクノロジー,ソフトウェア開発,サービス活用,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
テクノロジー,ソフトウェア開発,サービス活用,クラウドエンジニア/SRE,ソフトウェアエンジニア,c,2.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,新規事業開発,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,既存事業の高度化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,サービスデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,UX/UIデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,データビジネス,データサイエンティスト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,データアナリティクス,データサイエンティスト,d,1.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,データエンジニア,データサイエンティスト,b,3.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,フロントエンドエンジニア,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,バックエンドエンジニア,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュア設計・開発・構築,クラウドエンジニア/SRE,ソフトウェアエンジニア,b,3.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,新規事業開発,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,既存事業の高度化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,社内業務の高度化・効率化,ビジネスアーキテクト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,サービスデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,UX/UIデザイナー,デザイナー,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,データビジネス,データサイエンティスト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,データアナリティクス,データサイエンティスト,d,1.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,データエンジニア,データサイエンティスト,c,2.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,フロントエンドエンジニア,ソフトウェアエンジニア,c,2.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,バックエンドエンジニア,ソフトウェアエンジニア,c,2.0
セキュリティ,セキュリティ技術,セキュリティ運用・保守・監視,クラウドエンジニア/SRE,ソフトウェアエンジニア,a,5.0
パーソナルスキル,ヒューマンスキル,リーダーシップ,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,データビジネス,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,データエンジニア,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,リーダーシップ,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,データビジネス,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,データエンジニア,データサイエンティスト,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,ヒューマンスキル,コラボレーション,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,データビジネス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,データエンジニア,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,ゴール設定,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,データビジネス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,データエンジニア,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,創造的な問題解決,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,データビジネス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,データエンジニア,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,批判的思考,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,新規事業開発,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,既存事業の高度化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,社内業務の高度化・効率化,ビジネスアーキテクト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,サービスデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,UX/UIデザイナー,デザイナー,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,データビジネス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,データアナリティクス,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,データエンジニア,データサイエンティスト,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,フロントエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,バックエンドエンジニア,ソフトウェアエンジニア,z,2.5
パーソナルスキル,コンセプチュアルスキル,適応力,クラウドエンジニア/SRE,ソフトウェアエンジニア,z,2.5
